organisation,federalState,media,transferType,period,amount
"accent Gründerservice GmbH","AT-3","Mediaplanet Themenzeitungen",2,20161,6464
"Agrarmarketing Tirol (Verein)","AT-7","Tiroler Tageszeitung",2,20161,16946.18
"Agrarmarkt Austria Marketing GesmbH","AT-9","ATV",2,20161,37060
"Agrarmarkt Austria Marketing GesmbH","AT-9","ATV2",2,20161,9636
"Agrarmarkt Austria Marketing GesmbH","AT-9","Blick ins Land",2,20161,7450
"Agrarmarkt Austria Marketing GesmbH","AT-9","Der Standard",2,20161,8950
"Agrarmarkt Austria Marketing GesmbH","AT-9","Die Presse",2,20161,17000
"Agrarmarkt Austria Marketing GesmbH","AT-9","Falstaff-Magazin",2,20161,18029
"Agrarmarkt Austria Marketing GesmbH","AT-9","Genuss auf Steirisch",2,20161,8628
"Agrarmarkt Austria Marketing GesmbH","AT-9","Genuss.pur",2,20161,5202
"Agrarmarkt Austria Marketing GesmbH","AT-9","GUSTO",2,20161,15314
"Agrarmarkt Austria Marketing GesmbH","AT-9","Heute",2,20161,12500
"Agrarmarkt Austria Marketing GesmbH","AT-9","Hitradio Ö3",2,20161,40369
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kabel 1 austria",2,20161,37868
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kronehit",2,20161,7021
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kronen Zeitung",2,20161,73036
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kurier",2,20161,7000
"Agrarmarkt Austria Marketing GesmbH","AT-9","Lebensart",2,20161,5202
"Agrarmarkt Austria Marketing GesmbH","AT-9","ORF 2",2,20161,316079
"Agrarmarkt Austria Marketing GesmbH","AT-9","ORF-Nachlese",2,20161,5742
"Agrarmarkt Austria Marketing GesmbH","AT-9","profil",2,20161,8560
"Agrarmarkt Austria Marketing GesmbH","AT-9","Puls 4",2,20161,47056
"Agrarmarkt Austria Marketing GesmbH","AT-9","Regal",2,20161,9608
"Agrarmarkt Austria Marketing GesmbH","AT-9","RTL",2,20161,47462
"Agrarmarkt Austria Marketing GesmbH","AT-9","RTL2",2,20161,15192
"Agrarmarkt Austria Marketing GesmbH","AT-9","Rundschau für den Lebensmittelhandel",2,20161,6732
"Agrarmarkt Austria Marketing GesmbH","AT-9","SAT.1 Österreich",2,20161,67506
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus Gute Küche",2,20161,5507
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus in Stadt & Land",2,20161,24133
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus TV",2,20161,14426
"Agrarmarkt Austria Marketing GesmbH","AT-9","VOX",2,20161,26784
"Agrarmarkt Austria Marketing GesmbH","AT-9","Woman",2,20161,9718
"Agrarmarkt Austria Marketing GesmbH","AT-9","W24",2,20161,13800
"AiNet Telekommunikations-Netzwerk Betriebs GmbH","AT-6","Kanal 3",2,20161,8917.200000000001
"AIT Austrian Institute of Technology GmbH","AT-9","Austria Innovativ",2,20161,6254.14
"AIT Austrian Institute of Technology GmbH","AT-9","Der Standard",2,20161,6500
"AIT Austrian Institute of Technology GmbH","AT-9","Die Presse",2,20161,6060
"AIT Austrian Institute of Technology GmbH","AT-9","Europäische Rundschau",2,20161,5470
"Akademie der bildenden Künste Wien","AT-9","Der Standard",2,20161,14143.3
"Akademie der bildenden Künste Wien","AT-9","Die Presse",2,20161,6300
"Akademie der Wirtschaftstreuhänder Gesellschaft m.b.H.","AT-9","SWI Steuer & Wirtschaft International",2,20161,6015
"Aktionsfinder GmbH","AT-5","Woman",2,20161,14776.74
"Aktionsfinder GmbH","AT-5","google.com",2,20161,13000
"Albertina","AT-9","BÜHNE",2,20161,11270
"Albertina","AT-9","Kurier",2,20161,7500
"Albertina","AT-9","VOR Magazin",2,20161,13800
"Allgemeine Unfallversicherungsanstalt","AT-9","Kleines Volk",2,20161,5594.4
"Arbeitsmarktservice","AT-9","Bezirksblätter Tirol",2,20161,14618.26
"Arbeitsmarktservice","AT-9","Bezirksrundschau Oberösterreich",2,20161,8309.209999999999
"Arbeitsmarktservice","AT-9","bz - Wiener Bezirkszeitung",2,20161,7176.56
"Arbeitsmarktservice","AT-9","gotv",2,20161,7599
"Arbeitsmarktservice","AT-9","Heute",2,20161,12036
"Arbeitsmarktservice","AT-9","Kleine Zeitung",2,20161,9973.799999999999
"Arbeitsmarktservice","AT-9","Kosmo",2,20161,5125
"Arbeitsmarktservice","AT-9","Kronen Zeitung",2,20161,23348.74
"Arbeitsmarktservice","AT-9","Life Radio",2,20161,10128.55
"Arbeitsmarktservice","AT-9","Madonna mit Österreich",2,20161,8223.75
"Arbeitsmarktservice","AT-9","OÖ Nachrichten",2,20161,14918.65
"Arbeitsmarktservice","AT-9","Radio Arabella 92.9 - Wien",2,20161,18900
"Arbeitsmarktservice","AT-9","Salzburger Nachrichten",2,20161,5151
"Arbeitsmarktservice","AT-9","Tiroler Tageszeitung",2,20161,10115
"Arbeitsmarktservice","AT-9","Vorarlberger Nachrichten",2,20161,5570.55
"Arbeitsmarktservice","AT-9","Weekend Magazin",2,20161,12048
"Arbeitsmarktservice","AT-9","Wienerin",2,20161,6630
"Arbeitsmarktservice","AT-9","Wirtschaftsnachrichten",2,20161,8280
"Arbeitsmarktservice","AT-9","heute.at",2,20161,7629.6
"ARE Austrian Real Estate GmbH","AT-9","Die Presse",2,20161,5192
"Ärztekammer für Oberösterreich","AT-4","Bezirksrundschau Oberösterreich",2,20161,12200
"Ärztekammer für Oberösterreich","AT-4","nachrichten.at (OÖNachrichten)",2,20161,6270
"Ärztekammer für Wien","AT-9","Heute",2,20161,13024.5
"Ärztekammer für Wien","AT-9","meine medizin App",2,20161,12500
"Ärztekammer für Wien","AT-9","netdoktor - Ihr Magazin für Gesundheit und Wohlbefinden",2,20161,35789.76
"Ärztekammer für Wien","AT-9","Österreich",2,20161,37600
"Ärztekammer für Wien","AT-9","Radio Arabella 92.9 - Wien",2,20161,17760.6
"Ärztekammer für Wien","AT-9","vielgesundheit.at",2,20161,8400
"Ausgleichstaxfonds","AT-9","Förderverein bidok Österreich Netzwerk für Inklusion",4,20161,17020
"Austria Wirtschaftsservice Gesellschaft mit beschränkter Haftung","AT-9","trend",2,20161,8211
"Austria Wirtschaftsservice Gesellschaft mit beschränkter Haftung","AT-9","futurezone.at",2,20161,13000
"Austrian Development Agency","AT-9","Die Presse",2,20161,7333.15
"Austrian Development Agency","AT-9","Kurier",2,20161,14400
"Austrian Development Agency","AT-9","Frauensolidarität",4,20161,147000
"Austrian Development Agency","AT-9","Mattersburger Kreis für für Entwicklungspolitik an den österreichischen Universitäten",4,20161,35000
"Austrian Power Grid AG","AT-9","Bezirksblätter Niederösterreich",2,20161,21627
"Austrian Power Grid AG","AT-9","Der Standard",2,20161,6230
"Austrian Power Grid AG","AT-9","Heute",2,20161,27002
"Austrian Power Grid AG","AT-9","Kronen Zeitung",2,20161,38490
"Austrian Power Grid AG","AT-9","NÖN",2,20161,31013
"Austrian Power Grid AG","AT-9","Österreich",2,20161,25134
"Austrian Power Grid AG","AT-9","Salzburger Nachrichten",2,20161,7494
"Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung","AT-9","Österreich",2,20161,8322.58
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","Das Wiener Bezirksblatt",2,20161,5565.8
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","Hitradio Ö3",2,20161,9893.9
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","NÖN",2,20161,5879.1
"Bergbahnen Mitterbach GmbH","AT-3","Hitradio Ö3",2,20161,5150
"Bergbahnen Nassfeld Pramollo AG","AT-2","kleinezeitung.at",2,20161,8316.6
"Bergbahnen Turracher Höhe GmbH","AT-6","Kleine Zeitung",2,20161,5700.08
"Bergbahnen Turracher Höhe GmbH","AT-6","Kronehit",2,20161,12925
"Bergbahnen Turracher Höhe GmbH","AT-6","Kronen Zeitung",2,20161,5805
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Kärnten",2,20161,10350
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Kärnten",2,20161,8771.24
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Steiermark",2,20161,11057.81
